timestamp,agent_name,instantaneous_rps,avg_rps_1min,avg_rps_5min,peak_rps,throughput_efficiency,request_success_rate,bandwidth_utilization_mbps
1760189886,hybrid_dqn_ppo,164.0,164.0,164.0,401.6,5.465,0.9900,1.57
1760189886,hybrid_dqn_ppo,339.8,251.9,251.9,401.6,11.328,0.9900,3.26
1760189886,hybrid_dqn_ppo,178.1,227.3,227.3,401.6,5.936,0.9900,1.71
1760189886,hybrid_dqn_ppo,171.8,213.4,213.4,401.6,5.728,0.9900,1.65
1760189886,hybrid_dqn_ppo,101.2,191.0,191.0,401.6,3.373,0.9892,0.97
1760189886,hybrid_dqn_ppo,174.0,188.1,188.1,401.6,5.799,0.9900,1.67
1760189886,hybrid_dqn_ppo,118.2,180.5,178.1,401.6,3.938,0.9621,1.13
1760189886,hybrid_dqn_ppo,53.4,132.8,162.5,401.6,1.779,0.9900,0.51
1760189886,hybrid_dqn_ppo,180.2,133.1,164.5,401.6,6.006,0.9900,1.73
1760189886,hybrid_dqn_ppo,93.5,120.1,157.4,401.6,3.118,0.9900,0.90
1760189886,hybrid_dqn_ppo,142.0,126.9,156.0,401.6,4.732,0.9900,1.36
1760189886,hybrid_dqn_ppo,59.2,107.7,147.9,401.6,1.975,0.9128,0.57
1760189886,hybrid_dqn_ppo,82.3,101.8,142.9,401.6,2.742,0.9559,0.79
1760189886,hybrid_dqn_ppo,86.1,107.2,138.8,401.6,2.868,0.9900,0.83
1760189886,hybrid_dqn_ppo,174.7,106.3,141.2,401.6,5.823,0.9900,1.68
1760189886,hybrid_dqn_ppo,68.3,102.1,136.7,401.6,2.277,0.9588,0.66
1760189886,hybrid_dqn_ppo,98.9,94.9,134.4,401.6,3.298,0.9900,0.95
1760189886,hybrid_dqn_ppo,71.3,96.9,130.9,401.6,2.376,0.9246,0.68
1760189886,hybrid_dqn_ppo,104.8,100.7,129.6,401.6,3.492,0.9900,1.01
1760189886,hybrid_dqn_ppo,117.1,105.9,128.9,401.6,3.905,0.9900,1.12
1760189886,hybrid_dqn_ppo,129.8,98.4,129.0,401.6,4.327,0.9900,1.25
1760189886,hybrid_dqn_ppo,67.3,98.2,126.2,401.6,2.243,0.9742,0.65
1760189886,hybrid_dqn_ppo,123.0,102.2,126.0,401.6,4.099,0.9900,1.18
1760189886,hybrid_dqn_ppo,59.6,100.3,123.3,401.6,1.988,0.9900,0.57
1760189886,hybrid_dqn_ppo,147.4,107.4,124.2,401.6,4.914,0.9900,1.42
1760189886,hybrid_dqn_ppo,89.6,102.8,122.9,401.6,2.988,0.9900,0.86
1760189886,hybrid_dqn_ppo,52.4,89.9,120.3,401.6,1.745,0.9737,0.50
1760189886,hybrid_dqn_ppo,46.1,86.4,117.6,401.6,1.536,0.9865,0.44
1760189886,hybrid_dqn_ppo,92.8,81.3,116.8,401.6,3.095,0.9900,0.89
1760189886,hybrid_dqn_ppo,45.8,79.0,114.4,401.6,1.526,0.9519,0.44
1760189886,hybrid_dqn_ppo,46.8,62.2,110.5,401.6,1.560,0.9900,0.45
1760189886,hybrid_dqn_ppo,106.4,65.0,102.7,401.6,3.546,0.9900,1.02
1760189886,hybrid_dqn_ppo,74.6,68.7,99.3,401.6,2.486,0.9900,0.72
1760189886,hybrid_dqn_ppo,145.1,85.3,98.4,401.6,4.837,0.9900,1.39
1760189886,hybrid_dqn_ppo,20.8,73.2,95.7,401.6,0.693,0.9027,0.20
1760189886,hybrid_dqn_ppo,128.3,87.0,94.2,401.6,4.277,0.9900,1.23
1760189886,hybrid_dqn_ppo,91.0,94.4,93.3,401.6,3.032,0.9900,0.87
1760189886,hybrid_dqn_ppo,75.6,89.2,94.0,401.6,2.520,0.9900,0.73
1760189886,hybrid_dqn_ppo,106.9,94.6,91.6,401.6,3.562,0.9900,1.03
1760189886,hybrid_dqn_ppo,58.8,80.2,90.4,401.6,1.959,0.9900,0.56
1760189886,hybrid_dqn_ppo,173.6,105.7,91.5,401.6,5.787,0.9900,1.67
1760189886,hybrid_dqn_ppo,73.1,96.5,91.9,401.6,2.436,0.9900,0.70
1760189886,hybrid_dqn_ppo,121.7,101.6,93.3,401.6,4.057,0.9900,1.17
1760189886,hybrid_dqn_ppo,184.6,119.8,96.5,401.6,6.153,0.9900,1.77
1760189886,hybrid_dqn_ppo,38.4,108.4,92.0,401.6,1.281,0.9900,0.37
1760189886,hybrid_dqn_ppo,35.8,104.5,90.9,401.6,1.194,0.9900,0.34
1760189886,hybrid_dqn_ppo,111.8,94.2,91.3,401.6,3.728,0.9900,1.07
1760189886,hybrid_dqn_ppo,114.4,101.1,92.8,401.6,3.813,0.9900,1.10
1760189886,hybrid_dqn_ppo,83.3,94.7,92.1,401.6,2.776,0.9900,0.80
1760189886,hybrid_dqn_ppo,81.0,77.5,90.9,401.6,2.700,0.9900,0.78
1760189886,hybrid_dqn_ppo,37.1,77.2,87.8,401.6,1.235,0.9388,0.36
1760189886,hybrid_dqn_ppo,111.8,89.9,89.2,401.6,3.726,0.9900,1.07
1760189886,hybrid_dqn_ppo,55.9,80.6,87.0,401.6,1.863,0.9900,0.54
1760189886,hybrid_dqn_ppo,133.2,83.7,89.5,401.6,4.439,0.9900,1.28
1760189886,hybrid_dqn_ppo,69.7,81.4,86.9,401.6,2.324,0.9900,0.67
1760189886,hybrid_dqn_ppo,71.4,79.8,86.3,401.6,2.379,0.9900,0.69
1760189886,hybrid_dqn_ppo,83.3,87.5,87.3,401.6,2.776,0.9900,0.80
1760189886,hybrid_dqn_ppo,108.4,87.0,89.4,401.6,3.614,0.9900,1.04
1760189886,hybrid_dqn_ppo,111.4,96.2,90.0,401.6,3.713,0.9900,1.07
1760189886,hybrid_dqn_ppo,161.8,101.0,93.9,401.6,5.394,0.9900,1.55
1760189886,hybrid_dqn_ppo,78.6,102.5,94.9,401.6,2.619,0.9900,0.75
1760189886,hybrid_dqn_ppo,109.7,108.9,95.0,401.6,3.657,0.9900,1.05
1760189886,hybrid_dqn_ppo,83.9,109.0,95.3,401.6,2.796,0.9569,0.81
1760189886,hybrid_dqn_ppo,32.1,96.2,91.6,401.6,1.069,0.9900,0.31
1760189886,hybrid_dqn_ppo,67.2,88.9,93.1,401.6,2.240,0.9900,0.65
1760189886,hybrid_dqn_ppo,142.9,85.7,93.6,401.6,4.764,0.9900,1.37
1760189886,hybrid_dqn_ppo,57.5,82.2,92.5,401.6,1.917,0.9900,0.55
1760189886,hybrid_dqn_ppo,143.6,87.9,94.8,401.6,4.787,0.9900,1.38
1760189886,hybrid_dqn_ppo,24.0,77.9,92.0,401.6,0.801,0.9900,0.23
