timestamp,agent_name,instantaneous_rps,avg_rps_1min,avg_rps_5min,peak_rps,throughput_efficiency,request_success_rate,bandwidth_utilization_mbps
1760189887,hybrid_dqn_ppo,131.3,131.3,131.3,404.7,4.377,0.9900,1.26
1760189887,hybrid_dqn_ppo,81.0,106.1,106.1,404.7,2.700,0.9900,0.78
1760189887,hybrid_dqn_ppo,106.8,106.4,106.4,404.7,3.562,0.9900,1.03
1760189887,hybrid_dqn_ppo,27.3,86.6,86.6,404.7,0.910,0.9773,0.26
1760189887,hybrid_dqn_ppo,72.7,83.8,83.8,404.7,2.422,0.9900,0.70
1760189887,hybrid_dqn_ppo,103.3,87.1,87.1,404.7,3.444,0.9900,0.99
1760189887,hybrid_dqn_ppo,31.2,70.4,79.1,404.7,1.040,0.9679,0.30
1760189887,hybrid_dqn_ppo,117.6,76.5,83.9,404.7,3.921,0.9900,1.13
1760189887,hybrid_dqn_ppo,54.3,67.7,80.6,404.7,1.811,0.9900,0.52
1760189887,hybrid_dqn_ppo,62.2,73.6,78.8,404.7,2.074,0.9867,0.60
1760189887,hybrid_dqn_ppo,59.5,71.4,77.0,404.7,1.985,0.9900,0.57
1760189887,hybrid_dqn_ppo,73.1,66.3,76.7,404.7,2.438,0.9900,0.70
1760189887,hybrid_dqn_ppo,130.2,82.8,80.8,404.7,4.339,0.9900,1.25
1760189887,hybrid_dqn_ppo,50.7,71.7,78.7,404.7,1.690,0.9900,0.49
1760189887,hybrid_dqn_ppo,57.0,72.1,77.2,404.7,1.898,0.9900,0.55
1760189887,hybrid_dqn_ppo,57.2,71.3,76.0,404.7,1.905,0.9900,0.55
1760189887,hybrid_dqn_ppo,129.8,83.0,79.1,404.7,4.328,0.9900,1.25
1760189887,hybrid_dqn_ppo,67.8,82.1,78.5,404.7,2.261,0.9900,0.65
1760189887,hybrid_dqn_ppo,60.4,70.5,77.6,404.7,2.012,0.9377,0.58
1760189887,hybrid_dqn_ppo,62.4,72.4,76.8,404.7,2.081,0.9900,0.60
1760189887,hybrid_dqn_ppo,60.5,73.0,76.0,404.7,2.016,0.9900,0.58
1760189887,hybrid_dqn_ppo,155.2,89.4,79.6,404.7,5.174,0.9900,1.49
1760189887,hybrid_dqn_ppo,53.8,76.7,78.5,404.7,1.793,0.9900,0.52
1760189887,hybrid_dqn_ppo,67.7,76.7,78.0,404.7,2.256,0.9432,0.65
1760189887,hybrid_dqn_ppo,77.3,79.5,78.0,404.7,2.576,0.9900,0.74
1760189887,hybrid_dqn_ppo,66.9,80.2,77.6,404.7,2.229,0.9900,0.64
1760189887,hybrid_dqn_ppo,77.4,83.0,77.6,404.7,2.581,0.9900,0.74
1760189887,hybrid_dqn_ppo,120.6,77.3,79.1,404.7,4.019,0.9900,1.16
1760189887,hybrid_dqn_ppo,47.6,76.2,78.0,404.7,1.587,0.9900,0.46
1760189887,hybrid_dqn_ppo,53.1,73.8,77.2,404.7,1.769,0.9900,0.51
1760189887,hybrid_dqn_ppo,89.1,75.8,75.8,404.7,2.971,0.9900,0.86
1760189887,hybrid_dqn_ppo,48.9,72.8,74.7,404.7,1.631,0.9900,0.47
1760189887,hybrid_dqn_ppo,95.9,75.9,74.4,404.7,3.196,0.9900,0.92
1760189887,hybrid_dqn_ppo,44.9,63.3,74.9,404.7,1.497,0.9900,0.43
1760189887,hybrid_dqn_ppo,28.2,60.0,73.5,404.7,0.941,0.9590,0.27
1760189887,hybrid_dqn_ppo,93.4,66.7,73.1,404.7,3.114,0.9900,0.90
1760189887,hybrid_dqn_ppo,40.5,58.6,73.4,404.7,1.351,0.9777,0.39
